lp	wojewodztwo	woj	powiat	pow	gmina	gmi	miasto	lok	ubiegal	operator	odpowiedz	termininw	innaodp	data
60	MAŁOPOLSKIE	12	krakowski	6	Kocmyrzów-Luborzyca (gmina wiejska)	5	Luborzyca		1	2	1	0		2012-10-09 10:21
61	PODLASKIE	20	hajnowski	5	Dubicze Cerkiewne (gmina wiejska)	5	Piaski		2	0	0	0		2012-10-09 10:57
62	WARMIŃSKO-MAZURSKIE	28	szczycieński	17	Świętajno (gmina wiejska)	7	świętajno		1	2	1	0		2012-10-09 11:04
63	WIELKOPOLSKIE	30	nowotomyski	15	Nowy Tomyśl (gmina miejsko-wiejska)	4	Sękowo		1	3	1	0		2012-10-09 11:06
64	PODLASKIE	20	hajnowski	5	Dubicze Cerkiewne (gmina wiejska)	5	Piaski		2	0	0	0		2012-10-09 11:06
65	LUBELSKIE	6	zamojski	20	Szczebrzeszyn (gmina miejsko-wiejska)	13	Szczebrzeszyn	Nadrzeczna	1	2	1	0		2012-10-09 11:13
66	WIELKOPOLSKIE	30	średzki	25	Środa Wielkopolska (gmina miejsko-wiejska)	4	Brodowo		1	2	1	0		2012-10-09 11:13
67	MAZOWIECKIE	14	warszawski zachodni	32	Izabelin (gmina wiejska)	2	Helenówek	Przecinka	1	1	3	0	Otrzymałam wszystkie wyżej wskazane odpowiedzi, po czym TPSA stwierdziło, że może mi puścić kabel nad ziemią tworząc bardzo estetyczny sznur do powieszenia prania.  	2012-10-09 11:28
68	MAŁOPOLSKIE	12	tarnowski	16	Zakliczyn (gmina miejsko-wiejska)	14	stróże		1	2	2	3		2012-10-09 11:37
69	POMORSKIE	22	kartuski	5	Przodkowo (gmina wiejska)	3	POMIECZYNO	NOWA	1	2	1	0		2012-10-09 11:44
70	MAZOWIECKIE	14	legionowski	8	Nieporęt (gmina wiejska)	3	nieporęt	plac wolności	1	3	1	0		2012-10-09 12:04
71	MAŁOPOLSKIE	12	myślenicki	9	Sułkowice (gmina miejsko-wiejska)	7	Rudnik	Słoneczna	1	1	1	0		2012-10-09 12:06
72	ZACHODNIOPOMORSKIE	32	łobeski	18	Łobez (gmina miejsko-wiejska)	2	Łobez		1	1	0	0	operator zainstalował usługę w ciągu tygodnia	2012-10-09 12:16
73	MAZOWIECKIE	14	grodziski	5	Grodzisk Mazowiecki (gmina miejsko-wiejska)	4	Adamowizna	Dzika	1	2	1	0		2012-10-09 12:34
74	ŁÓDZKIE	10	rawski	13	Rawa Mazowiecka (gmina wiejska)	4	Dziurdzioły		1	5	1	0		2012-10-09 12:34
75	MAŁOPOLSKIE	12	suski	15	Zawoja (gmina wiejska)	8	Zawoja	Zawoja Czatoża (osiedle)	1	1	1	0		2012-10-09 12:52
76	DOLNOŚLĄSKIE	2	oławski	15	Jelcz-Laskowice (gmina miejsko-wiejska)	3	Nowy Dwór	Wrocławska	1	2	1	0		2012-10-09 12:59
77	PODKARPACKIE	18	rzeszowski	16	Krasne (gmina wiejska)	9	Krasne		1	1	3	0	brak planowanych inwestycji na tym obszarze w najbliższej przyszłości	2012-10-09 13:02
78	LUBELSKIE	6	krasnostawski	6	Krasnystaw (gmina miejska)	1	Krasnystaw		2	0	0	0		2012-10-09 13:03
79	MAZOWIECKIE	14	wołomiński	34	Marki (gmina miejska)	2	Marki	Tadeusza Jasińskiego	1	2	1	0		2012-10-09 13:06
80	DOLNOŚLĄSKIE	2	kłodzki	8	Bystrzyca Kłodzka (gmina miejsko-wiejska)	6	Gorzanów	Kolonia muszyn 5	1	5	1	0		2012-10-09 13:07
81	ZACHODNIOPOMORSKIE	32	koszaliński	9	Mielno (gmina wiejska)	5	Mielno	Kopernika	1	2	1	0		2012-10-09 13:07
82	LUBELSKIE	6	łukowski	11	Krzywda (gmina wiejska)	4	Wola Okrzejska		1	2	1	0		2012-10-09 13:08
83	POMORSKIE	22	starogardzki	13	Starogard Gdański (gmina wiejska)	12	Nowa Wieś Rzeczna	Os. Witosa	1	1	1	0		2012-10-09 13:10
84	ŁÓDZKIE	10	opoczyński	7	Sławno (gmina wiejska)	7	Gawrony		1	2	1	0		2012-10-09 13:10
85	POMORSKIE	22	kartuski	5	Żukowo (gmina miejsko-wiejska)	8	Chwaszczyno	Nałkowskiej	1	1	1	0		2012-10-09 13:11
86	WARMIŃSKO-MAZURSKIE	28	ostródzki	15	Ostróda (gmina wiejska)	9	Samborowo	Modrzewiowa	1	1	1	0		2012-10-09 13:12
87	KUJAWSKO-POMORSKIE	4	golubsko-dobrzyński	5	Golub-Dobrzyń (gmina wiejska)	3	Lisewo		1	2	1	0		2012-10-09 13:12
88	MAZOWIECKIE	14	Warszawa	65	Warszawa (gmina miejska, miasto stołeczne)	1	Warszawa	Przy Agorze 14	1	1	3	0	brak mozliwości technicznych transmisji danych powyżej 1Mb/s	2012-10-09 13:13
89	ZACHODNIOPOMORSKIE	32	goleniowski	4	Maszewo (gmina miejsko-wiejska)	3	Budzieszowce		1	1	3	0	Brak opłacalności podłączenia internetu do domu w którym nie ma gniazda telefonicznego	2012-10-09 13:16
90	MAZOWIECKIE	14	piaseczyński	18	Lesznowola (gmina wiejska)	3	Nowa Wola	Magnolii	1	1	1	0		2012-10-09 13:19
91	KUJAWSKO-POMORSKIE	4	chełmiński	4	Papowo Biskupie (gmina wiejska)	5	NOWY DWÓR KRÓLEWSKI		1	1	1	0		2012-10-09 13:21
92	DOLNOŚLĄSKIE	2	górowski	4	Góra (gmina miejsko-wiejska)	1	Góra	Mickiewicza	1	1	1	0		2012-10-09 13:23
93	ŁÓDZKIE	10	brzeziński	21	Rogów (gmina wiejska)	5	Rogów		1	2	3	0	zasięg sieci EDGE jest wystarczający do przeglądania stron internetowych (rzeczywista prędkość transmisji ok 8-10kB/sek)	2012-10-09 13:25
94	MAZOWIECKIE	14	miński	12	Dębe Wielkie (gmina wiejska)	5	Dębe Wielkie	Braci Tabiszewskich	1	1	1	0		2012-10-09 13:28
95	ŚWIĘTOKRZYSKIE	26	kielecki	4	Morawica (gmina wiejska)	12	Bilcza	Pogodna	1	1	1	0		2012-10-09 13:33
96	LUBELSKIE	6	zamojski	20	Szczebrzeszyn (gmina miejsko-wiejska)	13	Bodaczów		2	0	0	0		2012-10-09 13:34
97	MAZOWIECKIE	14	pruszkowski	21	Pruszków (gmina miejska)	2	Pruszków 	Kaczanowskiego	1	2	1	0		2012-10-09 13:34
98	LUBELSKIE	6	Biała Podlaska	61	Biała Podlaska (gmina miejska)	1	Biała Podlaska	Długa	1	3	3	0	Ze względu na Brak możliwości technicznych nie ma szans na korzystanie z nielimitowanego internetu, Jedynie na tym obszarze wchodzą w gre sieci radiowe lub dostęp mobilny lecz jakość jest słaba lub ograniczona limitem pobierania danych.	2012-10-09 13:36
99	POMORSKIE	22	gdański	4	Kolbudy (gmina wiejska)	3	Kowale	Andromedy 7	1	5	1	0		2012-10-09 13:39
100	LUBELSKIE	6	janowski	5	Janów Lubelski (gmina miejsko-wiejska)	5	Janów Lubelski	Piłsudskiego	1	3	2	4		2012-10-09 13:45
101	MAŁOPOLSKIE	12	tarnowski	16	Żabno (gmina miejsko-wiejska)	15	Chorążec		1	3	1	0		2012-10-09 13:45
102	PODKARPACKIE	18	Rzeszów	63	Rzeszów (gmina miejska)	1	Rzeszów	ródlana	1	1	3	0	"Na obszarze Białej, niedawno dołączonej do Rzeszowa możliwe jest podłąćzenie sie do internetu tylko u operatora OST Tyczyn. Brak jest mozliwości skorzystania z atrakcyjnych ofert innych operatorów/dostawców internetu - Netia, TPsa, Multimo.
Taka sytuacja jest określana jako monopol. Jeden operator świadczy uslugi telekomunikacyjne i okresla ceny, ktore nie są podatne na działania konkurencji. 
Dla informacji: 
OST to spoldzielnia telefoniczna,
przystapienie do spoldzielni to wydatek 1000PLN "	2012-10-09 13:45
103	OPOLSKIE	16	opolski	9	Niemodlin (gmina miejsko-wiejska)	7	Lipno		1	1	1	0		2012-10-09 13:45
104	POMORSKIE	22	wejherowski	15	Reda (gmina miejska)	1	Reda	Zuchów	1	3	1	0		2012-10-09 13:48
105	ZACHODNIOPOMORSKIE	32	sławieński	13	Postomino (gmina wiejska)	5	Korlino		1	2	3	0	TELEKOMUNIKACJA POLSKA oraz ORANGE, świadczyła nam w tej miejscowości dostęp do Internetu o prędkości 1MB/s przez 2 lata. Od tego roku dostaliśmy odpowiedź, że nie możemy mieć większej prędkości niż 256kb/s. Prosiłbym o interwencję w tej sprawie, ponieważ TP jak i Orange umywają od tego ręce.	2012-10-09 13:48
106	LUBELSKIE	6	chełmski	3	Ruda-Huta (gmina wiejska)	9	Ruda-Opalin		1	2	2	4		2012-10-09 13:49
107	MAZOWIECKIE	14	Ostrołęka	61	Ostrołęka (gmina miejska)	1	Drężewo	Klonowa	1	2	1	0		2012-10-09 13:52
108	LUBUSKIE	8	zielonogórski	9	Zabór (gmina wiejska)	9	Droszków	ul. Poziomkowa	1	2	1	0		2012-10-09 13:53
109	MAZOWIECKIE	14	ostrołęcki	15	Olszewo-Borki (gmina wiejska)	9	Drężewo	Klonowa	1	2	1	0		2012-10-09 13:54
110	WARMIŃSKO-MAZURSKIE	28	nidzicki	11	Nidzica (gmina miejsko-wiejska)	4	Napiwoda		1	3	1	0		2012-10-09 13:54
111	WIELKOPOLSKIE	30	nowotomyski	15	Nowy Tomyśl (gmina miejsko-wiejska)	4	Jastrzębsko Stare	Wybudowanie za torami i cała wioska	1	2	3	0	Jastrzębsko Stare znajduje się w dołku i nie istnieją możliwości techniczne	2012-10-09 14:01
112	PODLASKIE	20	hajnowski	5	Białowieża (gmina wiejska)	2	Czerlonka		1	5	1	0		2012-10-09 14:01
113	WIELKOPOLSKIE	30	nowotomyski	15	Nowy Tomyśl (gmina miejsko-wiejska)	4	Jastrzębsko Stare		1	2	1	0		2012-10-09 14:02
114	WIELKOPOLSKIE	30	nowotomyski	15	Nowy Tomyśl (gmina miejsko-wiejska)	4	Jastrzębsko Stare		1	2	1	0		2012-10-09 14:03
115	WIELKOPOLSKIE	30	nowotomyski	15	Nowy Tomyśl (gmina miejsko-wiejska)	4	Jastrzębsko Stare		1	2	1	0		2012-10-09 14:04
116	PODLASKIE	20	hajnowski	5	Białowieża (gmina wiejska)	2	Czerlonka		1	4	1	0		2012-10-09 14:04
117	ZACHODNIOPOMORSKIE	32	goleniowski	4	Goleniów (gmina miejsko-wiejska)	2	Modrzewie		1	3	1	0		2012-10-09 14:05
118	POMORSKIE	22	wejherowski	15	Szemud (gmina wiejska)	9	Dobrzewino	Kasztelańska	1	2	1	0		2012-10-09 14:05
119	POMORSKIE	22	wejherowski	15	Łęczyce (gmina wiejska)	8	Łęczyce	Słoneczna	1	1	1	0		2012-10-09 14:05
120	WIELKOPOLSKIE	30	nowotomyski	15	Nowy Tomyśl (gmina miejsko-wiejska)	4	Jastrzębsko Stare		1	3	1	0		2012-10-09 14:06
