lp	wojewodztwo	woj	powiat	pow	gmina	gmi	miasto	lok	ubiegal	operator	odpowiedz	termininw	innaodp	data
6355	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:20
6356	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:20
6357	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:20
6358	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:20
6359	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6360	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6361	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6362	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6363	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6364	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6365	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6366	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6367	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6368	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6369	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6370	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6371	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6372	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6373	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6374	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6375	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6376	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6377	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6378	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6379	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6380	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6381	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6382	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6383	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6384	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6385	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6386	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6387	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6388	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6389	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6390	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6391	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6392	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6393	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6394	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6395	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6396	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6397	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6398	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6399	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6400	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6401	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6402	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6403	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6404	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6405	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6406	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6407	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6408	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6409	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6410	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6411	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6412	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6413	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6414	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6415	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6416	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6417	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6418	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6419	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6420	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6421	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6422	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6423	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6424	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6425	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6426	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6427	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6428	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6429	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6430	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6431	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6432	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6433	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6434	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6435	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6436	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6437	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6438	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6439	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6440	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6441	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6442	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6443	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6444	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6445	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6446	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6447	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6448	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6449	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6450	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6451	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6452	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6453	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6454	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6455	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6456	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6457	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6458	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6459	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6460	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6461	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6462	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6463	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6464	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6465	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6466	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6467	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6468	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6469	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6470	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6471	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6472	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6473	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6474	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6475	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6476	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6477	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6478	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6479	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6480	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6481	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6482	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6483	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6484	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6485	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6486	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6487	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6488	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6489	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6490	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6491	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6492	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6493	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6494	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6495	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6496	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6497	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6498	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6499	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6500	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6501	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6502	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6503	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6504	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6505	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:21
6506	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6507	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6508	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6509	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6510	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6511	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6512	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6513	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6514	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6515	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6516	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6517	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6518	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6519	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6520	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6521	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6522	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6523	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6524	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6525	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6526	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6527	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6528	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6529	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6530	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6531	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6532	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6533	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6534	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6535	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6536	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6537	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6538	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6539	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6540	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6541	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6542	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6543	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6544	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6545	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6546	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
6547	ŁÓDZKIE	10	poddębicki	11	Uniejów (gmina miejsko-wiejska)	4	Rożniatów		1	4	1	0		2013-04-13 15:22
